,Spiro_Data
1874,94.75
1875,90.0
1876,92.6
1877,89.9
1878,94.4
1879,97.05
1880,95.4
1881,91.9
1882,88.3
1883,75.35
1884,79.65
1885,86.4
1886,86.65
1887,85.4
1888,84.45
1889,86.65
1890,93.25
1891,88.0
1892,93.3
1893,90.7
1894,88.2
1895,78.7
1896,80.55
1897,88.35
1898,82.25
1899,75.85
1900,81.65
1901,80.3
1902,80.45
1903,76.85
1904,85.55
1905,78.2
1906,76.8
1907,73.35
1908,77.7
1909,80.4
1910,74.35
1911,74.6
1912,76.35
1913,72.25
1914,71.1
1915,71.4
1916,72.45
1917,70.75
1918,67.35
1919,71.3
1920,67.9
1921,63.45
1922,69.65
1923,66.8
1924,68.0
1925,60.7
1926,60.85
1927,61.9
1928,62.6
1929,64.8
1930,54.2
1931,55.75
1932,55.25
1933,63.3
1934,61.65
1935,61.05
1936,62.55
1937,55.25
1938,52.15
1939,55.9
1940,52.7
1941,56.6
1942,52.05
1943,47.45
1944,45.25
1945,46.95
1946,44.55
1947,39.7
1948,42.3
1949,41.65
1950,37.4
1951,40.0
1952,38.95
1953,35.7
1954,35.7
1955,36.5
1956,33.75
1957,32.55
1958,32.6
1959,30.6
1960,30.8
1961,29.95
1962,27.4
1963,27.25
1964,27.8
1965,27.75
1966,25.35
1967,23.4
1968,24.5
1969,25.25
1970,22.9
1971,21.85
1972,21.25
1973,19.8
1974,20.3
1975,18.5
1976,17.8
1977,16.9
1978,18.05
1979,16.95
1980,16.9
1981,17.2
1982,16.65
1983,14.0
1984,13.2
1985,14.4
1986,13.4
1987,12.45
1988,11.2
1989,10.7
1990,9.9
1991,9.9
1992,11.55
1993,11.3
1994,9.25
1995,7.25
1996,7.25
1997,6.85
1998,5.7
1999,5.0
2000,5.35
2001,4.85
2002,3.75
2003,3.3
2004,2.2
2005,1.45
2006,1.6
2007,1.55
2008,0.95
2009,0.1
2010,-0.8
2011,-1.35
2012,-1.7
2013,-2.0
2014,-2.35
2015,-2.7
2016,-3.2
2017,-3.75
2018,-4.25
2019,-4.95
