,Data
1613,103.55
1614,102.5
1615,106.0
1616,95.05
1617,105.65
1618,106.45
1619,95.0
1620,104.45
1621,115.25
1622,112.3
1623,104.75
1624,112.05
1625,108.2
1626,109.45
1627,110.25
1628,111.5
1629,118.9
1630,113.75
1631,117.5
1632,104.75
1633,123.95
1634,122.45
1635,122.85
1636,129.25
1637,108.5
1638,116.25
1639,127.1
1640,120.75
1641,98.15
1642,100.8
1643,115.2
1644,124.35
1645,115.1
1646,112.05
1647,103.95
1648,118.25
1649,117.05
1650,97.75
1651,113.65
1652,111.25
1653,103.8
1654,113.5
1655,119.95
1656,116.25
1657,111.6
1658,115.05
1659,117.05
1660,109.0
1661,106.05
1662,115.7
1663,117.55
1664,112.8
1665,106.55
1666,110.15
1667,113.8
1668,116.45
1669,110.2
1670,91.55
1671,116.6
1672,111.5
1673,103.7
1674,103.5
1675,111.05
1676,114.95
1677,124.45
1678,114.85
1679,116.85
1680,108.15
1681,110.4
1682,114.65
1683,116.85
1684,112.4
1685,105.55
1686,104.65
1687,116.8
1688,120.8
1689,104.75
1690,116.05
1691,119.3
1692,127.85
1693,129.1
1694,121.95
1695,114.9
1696,134.65
1697,129.55
1698,127.9
1699,129.4
1700,134.3
1701,123.6
1702,122.35
1703,118.4
1704,114.1
1705,113.1
1706,125.75
1707,126.8
1708,128.05
1709,116.9
1710,105.4
1711,116.7
1712,114.95
1713,124.75
1714,110.6
1715,108.3
1716,121.0
1717,121.45
1718,124.9
1719,111.8
1720,114.85
1721,121.4
1722,106.95
1723,110.75
1724,114.9
1725,118.0
1726,109.25
1727,106.1
1728,112.55
1729,109.65
1730,119.45
1731,130.2
1732,119.65
1733,110.15
1734,118.45
1735,121.25
1736,112.7
1737,100.5
1738,102.25
1739,113.85
1740,119.65
1741,114.55
1742,114.0
1743,116.25
1744,125.35
1745,117.25
1746,114.8
1747,112.25
1748,108.4
1749,111.0
1750,112.5
1751,97.9
1752,115.05
1753,119.2
1754,113.8
1755,111.95
1756,116.25
1757,125.1
1758,112.4
1759,104.8
1760,110.55
1761,116.45
1762,119.15
1763,101.85
1764,105.05
1765,113.8
1766,107.95
1767,106.75
1768,110.5
1769,114.35
1770,115.75
1771,108.1
1772,105.6
1773,102.3
1774,116.75
1775,103.05
1776,116.7
1777,114.85
1778,102.45
1779,101.95
1780,107.85
1781,119.6
1782,111.8
1783,106.9
1784,100.5
1785,110.05
1786,112.45
1787,102.15
1788,100.25
1789,112.3
1790,101.3
1791,98.55
1792,94.1
1793,94.35
1794,101.3
1795,93.55
1796,102.55
1797,115.2
1798,112.3
1799,110.95
1800,112.05
1801,100.2
1802,101.0
1803,98.9
1804,99.45
1805,104.95
1806,97.95
1807,105.15
1808,102.0
1809,105.0
1810,101.05
1811,108.05
1812,112.7
1813,107.9
1814,100.45
1815,101.05
1816,109.3
1817,100.7
1818,101.85
1819,100.05
1820,112.9
1821,107.1
1822,93.25
1823,100.45
1824,107.7
1825,92.65
1826,95.1
1827,107.35
1828,94.0
1829,97.25
1830,97.6
1831,93.25
1832,108.25
1833,95.15
1834,96.5
1835,94.65
1836,97.2
1837,95.4
1838,87.85
1839,94.65
1840,78.0
1841,90.8
1842,96.35
1843,104.85
1844,87.15
1845,91.55
1846,91.45
1847,95.9
1848,86.55
1849,82.4
1850,92.1
1851,90.35
1852,104.35
1853,90.5
1854,87.2
1855,109.7
1856,106.15
1857,91.75
1858,80.2
1859,98.7
1860,99.55
1861,95.2
1862,86.4
1863,86.8
1864,100.25
1865,94.25
1866,93.65
1867,91.0
1868,97.65
1869,81.1
1870,78.15
1871,90.75
1872,83.1
1873,85.25
1874,82.9
1875,86.75
1876,84.15
1877,84.2
1878,81.35
1879,90.15
1880,91.95
1881,87.3
1882,84.7
1883,86.75
1884,83.3
1885,83.5
1886,94.95
1887,87.45
1888,79.3
1889,73.05
1890,75.95
1891,76.7
1892,75.8
1893,67.15
1894,72.55
1895,80.35
1896,74.4
1897,76.6
1898,65.35
1899,71.7
1900,72.65
1901,64.15
1902,66.05
1903,73.65
1904,58.6
1905,62.6
1906,66.3
1907,65.8
1908,65.05
1909,62.4
1910,53.9
1911,54.6
1912,57.55
1913,56.3
1914,50.55
1915,57.2
1916,63.45
1917,60.9
1918,59.7
1919,47.2
1920,44.45
1921,48.4
1922,54.8
1923,53.05
1924,72.25
1925,65.65
1926,56.65
1927,55.45
1928,56.0
1929,51.35
1930,55.1
1931,58.95
1932,58.9
1933,46.4
1934,43.55
1935,44.3
1936,52.2
1937,54.7
1938,50.4
1939,44.0
1940,35.35
1941,45.55
1942,46.55
1943,42.65
1944,45.45
1945,41.6
1946,33.55
1947,35.8
1948,36.85
1949,35.5
1950,32.4
1951,37.2
1952,37.15
1953,32.8
1954,27.55
1955,31.7
1956,30.3
1957,28.05
1958,22.65
1959,25.3
1960,23.35
1961,19.05
1962,18.4
1963,13.4
1964,11.25
1965,11.3
1966,12.4
1967,10.3
1968,7.2
1969,3.85
1970,2.2
1971,1.15
1972,0.95
1973,0.45
1974,-0.85
1975,-2.0
1976,-2.9
1977,-3.5
1978,-4.15
1979,-4.85
