,Data
1690,89.35
1691,97.9
1692,105.25
1693,87.25
1694,104.85
1695,109.3
1696,103.05
1697,96.05
1698,92.25
1699,96.1
1700,91.75
1701,84.95
1702,90.65
1703,91.4
1704,109.45
1705,123.8
1706,110.5
1707,124.45
1708,130.6
1709,133.7
1710,121.45
1711,111.1
1712,132.6
1713,120.2
1714,130.3
1715,123.95
1716,127.85
1717,134.6
1718,132.8
1719,128.95
1720,124.8
1721,129.9
1722,140.9
1723,125.8
1724,124.7
1725,135.1
1726,130.85
1727,129.5
1728,127.3
1729,127.65
1730,119.4
1731,118.1
1732,124.6
1733,124.2
1734,118.65
1735,128.9
1736,125.45
1737,135.1
1738,122.3
1739,122.85
1740,115.55
1741,122.45
1742,115.95
1743,121.4
1744,108.7
1745,110.5
1746,124.45
1747,122.35
1748,126.75
1749,108.8
1750,115.2
1751,126.0
1752,117.65
1753,119.7
1754,123.2
1755,123.65
1756,126.35
1757,122.65
1758,115.35
1759,124.25
1760,126.4
1761,126.2
1762,115.6
1763,118.6
1764,115.25
1765,107.9
1766,106.8
1767,103.75
1768,120.05
1769,118.1
1770,110.95
1771,105.05
1772,111.85
1773,121.8
1774,121.05
1775,119.15
1776,117.3
1777,120.2
1778,121.8
1779,126.85
1780,118.35
1781,108.85
1782,112.7
1783,115.35
1784,117.8
1785,120.15
1786,116.3
1787,115.25
1788,123.0
1789,112.6
1790,124.9
1791,114.85
1792,133.3
1793,133.7
1794,135.45
1795,135.7
1796,133.0
1797,123.1
1798,127.75
1799,130.25
1800,138.1
1801,133.05
1802,124.5
1803,136.65
1804,136.65
1805,134.4
1806,122.25
1807,123.55
1808,116.8
1809,115.8
1810,129.55
1811,135.55
1812,127.4
1813,134.7
1814,138.8
1815,142.55
1816,134.0
1817,124.65
1818,135.75
1819,149.65
1820,133.3
1821,119.85
1822,113.0
1823,120.0
1824,97.65
1825,108.9
1826,118.3
1827,118.2
1828,121.3
1829,126.25
1830,130.25
1831,129.2
1832,130.4
1833,123.8
1834,138.45
1835,127.45
1836,143.45
1837,118.1
1838,111.95
1839,123.9
1840,133.6
1841,132.4
1842,136.0
1843,123.75
1844,130.1
1845,111.55
1846,127.6
1847,121.05
1848,121.05
1849,133.2
1850,129.7
1851,119.4
1852,119.5
1853,122.35
1854,126.9
1855,127.1
1856,125.0
1857,125.55
1858,120.45
1859,126.25
1860,126.55
1861,136.8
1862,121.4
1863,116.8
1864,114.7
1865,118.65
1866,130.8
1867,127.9
1868,133.05
1869,132.45
1870,117.5
1871,125.3
1872,117.25
1873,101.85
1874,116.3
1875,127.9
1876,120.35
1877,118.85
1878,118.1
1879,118.3
1880,106.65
1881,112.0
1882,108.85
1883,107.7
1884,104.5
1885,94.9
1886,101.45
1887,117.0
1888,101.2
1889,116.9
1890,123.55
1891,119.95
1892,116.15
1893,111.9
1894,116.55
1895,118.35
1896,125.55
1897,121.7
1898,116.6
1899,115.8
1900,115.8
1901,111.65
1902,115.45
1903,120.35
1904,119.65
1905,112.3
1906,121.05
1907,112.55
1908,123.2
1909,120.1
1910,112.8
1911,102.55
1912,113.6
1913,109.0
1914,120.9
1915,128.2
1916,119.1
1917,116.7
1918,122.75
1919,116.0
1920,123.2
1921,129.2
1922,128.2
1923,131.1
1924,124.65
1925,125.45
1926,126.8
1927,134.8
1928,121.15
1929,127.9
1930,131.0
1931,122.4
1932,123.2
1933,129.3
1934,132.4
1935,126.25
1936,128.05
1937,139.15
1938,135.5
1939,138.85
1940,140.5
1941,142.4
1942,135.0
1943,136.95
1944,131.35
1945,124.8
1946,130.3
1947,132.3
1948,143.85
1949,146.9
1950,154.3
1951,126.2
1952,110.9
1953,133.8
1954,122.9
1955,121.75
1956,125.6
1957,118.35
1958,132.5
1959,118.35
1960,131.9
1961,134.15
1962,118.5
1963,109.65
1964,118.8
1965,118.8
1966,121.95
1967,140.3
1968,123.2
1969,130.85
1970,128.55
1971,126.1
1972,120.9
1973,115.15
1974,117.95
1975,119.3
1976,125.6
1977,121.4
1978,127.95
1979,122.4
1980,115.05
1981,110.45
1982,116.55
1983,119.7
1984,115.25
1985,126.05
1986,122.65
1987,117.9
1988,123.2
1989,116.1
1990,113.9
1991,105.35
1992,109.5
1993,108.9
1994,104.65
1995,105.25
1996,99.55
1997,103.25
1998,96.55
1999,100.1
2000,105.75
2001,99.75
2002,103.6
2003,102.1
2004,105.55
2005,104.6
2006,93.9
2007,93.35
2008,86.0
2009,89.4
2010,86.8
2011,88.5
2012,95.8
2013,86.7
2014,81.8
2015,81.7
2016,81.75
